M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,avg_query_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
16,32,8,5000000,10000,18.615676879882812,3.437952756881714,0.026813559532165528,2024.6245669819034,10,0.04644,1.9,2.0,1.5046424865722656
16,32,16,5000000,10000,18.553927421569824,3.4656248092651367,0.026919841766357436,2030.8600379237519,10,0.07342,2.0,2.2,1.2120475769042969
16,32,32,5000000,10000,18.64567756652832,3.5483193397521973,0.02652615070343018,2030.3703829928206,10,0.11652,2.0,2.2,1.2122459411621094
16,32,64,5000000,10000,18.667505264282227,3.708789348602295,0.026262207031250002,2029.881545846744,10,0.1805,2.0,2.2,1.2120018005371094
16,32,128,5000000,10000,18.60731816291809,3.924607515335083,0.027036759853363044,2024.178614253701,10,0.26709,2.0,2.2,1.2120018005371094
16,32,256,5000000,10000,18.600575923919678,4.365413427352905,0.02655231475830077,2014.8776304964204,10,0.36912,2.0,2.2,1.2121696472167969
16,32,512,5000000,10000,18.63927674293518,5.1415300369262695,0.028275589942932132,1999.3388412120737,10,0.48369,2.0,2.2,1.2121810913085938
16,32,768,5000000,10000,18.670795440673828,5.88167405128479,0.029332923889160156,1975.7281787909874,10,0.54866,2.0,2.2,1.2121391296386719
16,32,1024,5000000,10000,18.518168687820435,6.643348932266235,0.03022735595703126,1929.6809960190342,10,0.58663,2.0,2.2,1.2121810913085938
16,64,8,5000000,10000,35.71037173271179,3.5048930644989014,0.02768707275390625,1997.401841855881,10,0.05792,2.0,2.2,1.2121696472167969
16,64,16,5000000,10000,35.84821081161499,3.4929797649383545,0.026775169372558597,2023.1867093534177,10,0.09245,1.9,2.2,1.2121467590332031
16,64,32,5000000,10000,35.86288261413574,3.603001594543457,0.027201592922210693,2022.9192507252853,10,0.14353,1.9,2.2,1.2120018005371094
16,64,64,5000000,10000,35.74482321739197,3.7249269485473633,0.026923317909240727,2022.9489934002477,10,0.21725,2.0,2.2,1.2116737365722656
16,64,128,5000000,10000,35.79816508293152,3.9959676265716553,0.026801881790161138,2025.11480383789,10,0.31756,2.0,2.2,1.211883544921875
16,64,256,5000000,10000,35.693591833114624,4.4847447872161865,0.026465849876403793,2008.2823613314424,10,0.43406,2.0,2.2,1.2120246887207031
16,64,512,5000000,10000,35.90429210662842,5.370800971984863,0.028742694854736323,1983.1320380535828,10,0.55696,1.9,2.2,1.2118873596191406
16,64,768,5000000,10000,35.817808628082275,6.240405797958374,0.02971677780151368,1957.8702020840756,10,0.6203,2.0,2.2,1.2119407653808594
16,64,1024,5000000,10000,35.585898876190186,7.062494993209839,0.029984092712402342,1918.1571349625426,10,0.65904,2.0,2.2,1.2120018005371094
16,128,8,5000000,10000,72.18000292778015,3.52492618560791,0.026537141799926778,2029.1816510722429,10,0.06639,2.0,2.2,1.2118186950683594
16,128,16,5000000,10000,72.29522204399109,3.55094838142395,0.026549284458160405,2027.0076499064705,10,0.10387,2.0,2.2,1.2120018005371094
16,128,32,5000000,10000,72.23891568183899,3.6764395236968994,0.026621932983398443,2026.821156046272,10,0.16078,1.9,2.2,1.2120018005371094
16,128,64,5000000,10000,72.25558686256409,3.887437582015991,0.02726524829864502,2026.6235535788408,10,0.24516,2.0,2.2,1.2120018005371094
16,128,128,5000000,10000,72.19168639183044,4.102357864379883,0.030016283988952636,1924.2706538936209,10,0.35754,1.9,2.2,1.2121429443359375
16,128,256,5000000,10000,72.28766250610352,4.594610691070557,0.027482440471649123,2007.5677323440839,10,0.48408,1.9,2.2,1.2118377685546875
16,128,512,5000000,10000,71.93877387046814,5.603037357330322,0.029260029792785646,1976.4565371936,10,0.60444,1.9,2.2,1.2119712829589844
16,128,768,5000000,10000,72.15594100952148,6.479856491088867,0.029991760253906243,1939.3953627516262,10,0.66734,1.9,2.2,1.2118339538574219
16,128,1024,5000000,10000,72.06639575958252,7.451174259185791,0.03030059337615966,1891.2055562889336,10,0.70174,2.0,2.2,1.2120132446289062
16,256,8,5000000,10000,145.170348405838,3.534294366836548,0.026641702651977538,2032.5058418087715,10,0.07104,1.9,2.2,1.2118453979492188
16,256,16,5000000,10000,144.54920148849487,3.5500972270965576,0.027149770259857185,2030.4087509251563,10,0.11115,2.0,2.2,1.2120018005371094
16,256,32,5000000,10000,145.4561264514923,3.6922407150268555,0.027320694923400883,2028.3780495473789,10,0.17161,2.0,2.2,1.2121963500976562
16,256,64,5000000,10000,144.7741720676422,3.8692336082458496,0.02643077373504639,2023.782740524529,10,0.25949,2.0,2.2,1.2120018005371094
16,256,128,5000000,10000,144.99023461341858,4.131117582321167,0.027206563949584955,2018.3293000185245,10,0.37755,2.0,2.2,1.2122383117675781
16,256,256,5000000,10000,145.61186718940735,4.7245330810546875,0.027134788036346443,2003.3031876591492,10,0.51123,2.0,2.2,1.2121772766113281
16,256,512,5000000,10000,144.80914330482483,5.811362266540527,0.029070734977722164,1964.5333638062923,10,0.63146,2.0,2.2,1.2123298645019531
16,256,768,5000000,10000,145.2105917930603,6.739638328552246,0.030364017486572265,1920.079366748671,10,0.69262,2.0,2.2,1.2121505737304688
16,256,1024,5000000,10000,144.64562129974365,7.713572025299072,0.030914626121520985,1860.4107390191498,10,0.72789,2.0,2.2,1.2118911743164062
16,512,8,5000000,10000,282.4483811855316,3.53887677192688,0.026657679080963143,2027.164012672053,10,0.07405,2.0,2.2,1.2120018005371094
16,512,16,5000000,10000,281.28233671188354,3.523738384246826,0.027445316314697273,2030.565628003156,10,0.11322,2.0,2.2,1.21197509765625
16,512,32,5000000,10000,281.68400382995605,3.7064926624298096,0.025661973953247073,2029.2822412019148,10,0.17505,2.0,2.2,1.2119102478027344
16,512,64,5000000,10000,282.4129056930542,3.911660671234131,0.026266956329345705,2024.2900780575858,10,0.26726,2.0,2.2,1.2118759155273438
16,512,128,5000000,10000,280.8402864933014,4.195734262466431,0.02692027330398559,2016.8258212539527,10,0.38657,2.0,2.2,1.2120399475097656
16,512,256,5000000,10000,282.2396149635315,4.789134740829468,0.028075556755065924,2003.4614766552302,10,0.52417,2.0,2.2,1.2119560241699219
16,512,512,5000000,10000,282.06006717681885,5.860491991043091,0.029405441284179688,1955.4317354335412,10,0.64788,2.0,2.2,1.2119903564453125
16,512,768,5000000,10000,281.5571653842926,6.872478723526001,0.02919757604599,1905.4411516592893,10,0.70741,2.0,2.2,1.2119789123535156
16,512,1024,5000000,10000,281.6735210418701,8.00426721572876,0.03053940773010254,1845.780679568914,10,0.74434,2.0,2.2,1.21185302734375
32,32,8,5000000,10000,47.852684020996094,3.5390138626098633,0.027633953094482425,2026.9618346475804,10,0.09186,2.0,2.3,1.80743408203125
32,32,16,5000000,10000,47.85461139678955,3.723822593688965,0.02785479545593262,2023.3505145757513,10,0.14071,2.0,2.3,1.80743408203125
32,32,32,5000000,10000,47.94160866737366,3.8039302825927734,0.02759460926055908,2021.208101449833,10,0.2071,2.0,2.3,1.8078422546386719
32,32,64,5000000,10000,47.9846613407135,4.0493669509887695,0.02763624191284179,2017.229199453498,10,0.30332,2.0,2.3,1.80743408203125
32,32,128,5000000,10000,47.72579002380371,4.476899147033691,0.02632997512817383,2006.4241275787892,10,0.42344,2.0,2.3,1.80743408203125
32,32,256,5000000,10000,47.80735182762146,5.295470714569092,0.02860866069793701,1976.5350708972592,10,0.55436,2.0,2.3,1.80743408203125
32,32,512,5000000,10000,47.81293296813965,6.625323295593262,0.029981784820556637,1911.7192735293063,10,0.68889,2.0,2.3,1.80706787109375
32,32,768,5000000,10000,47.927284479141235,7.9763782024383545,0.028853654861450195,1823.2460720919314,10,0.76286,2.0,2.3,1.8073272705078125
32,32,1024,5000000,10000,47.85606503486633,10.736249685287476,0.031210446357727056,1732.7568745608799,10,0.80301,2.0,2.3,1.80743408203125
32,64,8,5000000,10000,46.83759689331055,3.483583688735962,0.026917271614074728,2030.7273088864822,10,0.07519,2.0,2.3,1.80743408203125
32,64,16,5000000,10000,46.74862766265869,3.5352702140808105,0.02627360343933106,2031.2190295573791,10,0.11428,2.0,2.3,1.806854248046875
32,64,32,5000000,10000,46.86319589614868,3.6653993129730225,0.025584411621093754,2029.9307870692355,10,0.173,2.0,2.3,1.8072242736816406
32,64,64,5000000,10000,46.985130071640015,3.996906042098999,0.026683282852172852,2027.5320789493603,10,0.25639,2.0,2.3,1.807708740234375
32,64,128,5000000,10000,46.93638825416565,4.20438814163208,0.027104256153106687,2020.836324320701,10,0.36353,2.0,2.3,1.80743408203125
32,64,256,5000000,10000,46.699480295181274,4.8087921142578125,0.026636772155761722,2006.9022546084975,10,0.48576,2.0,2.3,1.8074607849121094
32,64,512,5000000,10000,46.788899183273315,5.881057262420654,0.029118452072143555,1970.8001374998696,10,0.61046,2.0,2.3,1.8075599670410156
32,64,768,5000000,10000,46.8009672164917,6.938821315765381,0.02952124595642088,1919.737994874842,10,0.67073,2.0,2.3,1.80743408203125
32,64,1024,5000000,10000,46.897403717041016,7.970268487930298,0.031056013107299805,1855.877625929086,10,0.71242,2.0,2.3,1.80743408203125
32,128,8,5000000,10000,99.66125702857971,3.5503785610198975,0.02579915523529057,2031.4861807955656,10,0.08884,2.0,2.3,1.80743408203125
32,128,16,5000000,10000,99.82623410224915,3.6461288928985596,0.026526784896850588,2029.8758438771808,10,0.13493,2.0,2.3,1.80743408203125
32,128,32,5000000,10000,99.53260540962219,3.751711845397949,0.026814985275268564,2027.5929818588388,10,0.19869,2.0,2.3,1.8074378967285156
32,128,64,5000000,10000,99.31549406051636,3.9760398864746094,0.02675807476043701,2021.5091433772657,10,0.2922,2.0,2.3,1.8076667785644531
32,128,128,5000000,10000,99.69249224662781,4.361077785491943,0.02624658107757568,2018.0022011066828,10,0.41606,2.0,2.3,1.8070220947265625
32,128,256,5000000,10000,99.33408451080322,5.114667177200317,0.027677087783813465,1993.7585470894676,10,0.55009,2.0,2.3,1.8074073791503906
32,128,512,5000000,10000,98.24925065040588,6.391058683395386,0.029989049434661866,1945.384542599745,10,0.67644,2.0,2.3,1.8069915771484375
32,128,768,5000000,10000,99.39029169082642,7.598156452178955,0.030642738342285154,1870.5714731999092,10,0.73373,1.9,2.3,1.80743408203125
32,128,1024,5000000,10000,99.53420901298523,9.09618616104126,0.031711091995239256,1787.9483138955165,10,0.7661,1.9,2.3,1.8071327209472656
32,256,8,5000000,10000,211.09066772460938,3.586202621459961,0.02616602420806885,2027.3306813983863,10,0.09579,1.9,2.3,1.80743408203125
32,256,16,5000000,10000,210.90270018577576,3.6523497104644775,0.026931846141815187,2028.6682240816149,10,0.14606,1.9,2.3,1.80743408203125
32,256,32,5000000,10000,211.32128524780273,3.816340684890747,0.02598922967910767,2024.6049054616535,10,0.21866,1.9,2.3,1.80743408203125
32,256,64,5000000,10000,211.58709502220154,4.079334735870361,0.02655548095703125,2022.7620054810916,10,0.32079,1.9,2.3,1.8071823120117188
32,256,128,5000000,10000,211.21839213371277,4.532605409622192,0.02628272056579586,2012.3281251599751,10,0.45173,1.9,2.3,1.8071670532226562
32,256,256,5000000,10000,211.0763852596283,5.337278127670288,0.028765561580657947,1988.1252853078317,10,0.59153,1.9,2.3,1.8073768615722656
32,256,512,5000000,10000,211.77106738090515,6.824734449386597,0.03049726486206055,1908.1381367262115,10,0.71512,1.9,2.3,1.8070602416992188
32,256,768,5000000,10000,210.98084497451782,8.15527629852295,0.030866918563842764,1819.4446333774804,10,0.76825,1.9,2.3,1.807373046875
32,256,1024,5000000,10000,211.2445831298828,11.341257572174072,0.03313361167907715,1719.6337684794896,10,0.79636,1.9,2.3,1.80743408203125
32,512,8,5000000,10000,433.53663206100464,3.6148598194122314,0.026405897140502937,2031.5921712208174,10,0.10143,1.9,2.3,1.8074378967285156
32,512,16,5000000,10000,434.33506989479065,3.7188632488250732,0.02594845294952393,2027.160660063883,10,0.15289,1.9,2.3,1.8073959350585938
32,512,32,5000000,10000,434.6218092441559,3.8586602210998535,0.02630370855331421,2022.8472106967529,10,0.22737,1.9,2.3,1.8075218200683594
32,512,64,5000000,10000,432.5056757926941,4.125250339508057,0.026982975006103506,2017.715508840523,10,0.33652,1.9,2.3,1.8074150085449219
32,512,128,5000000,10000,433.21657705307007,4.6364054679870605,0.027845015525817862,2011.6719170969163,10,0.47505,1.9,2.3,1.807098388671875
32,512,256,5000000,10000,433.7307426929474,5.49828314781189,0.028901081085205078,1971.8954066021352,10,0.61651,1.9,2.3,1.8067665100097656
32,512,512,5000000,10000,434.17090463638306,7.058045387268066,0.030073366165161083,1886.7784950923528,10,0.73556,1.9,2.3,1.807586669921875
32,512,768,5000000,10000,435.9077754020691,8.672792673110962,0.03091666936874392,1778.1836199995219,10,0.79099,1.9,2.3,1.80743408203125
32,512,1024,5000000,10000,406.2175886631012,12.236019372940063,0.03375960350036621,1653.7218543021145,10,0.8122,1.9,2.3,1.8073463439941406
